,_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest Poi
4994,4821492,2017-06-21 21:20:49.423,CA,BC,Abbotsford,49.05041,-122.32851,POI1
4995,4821552,2017-06-21 17:20:46.740,CA,AB,Fort Mcmurray,56.7377,-111.438,POI1
4996,4821737,2017-06-21 18:20:48.137,CA,AB,Sherwood Park,53.528,-113.2512,POI1
4997,4821769,2017-06-21 13:20:48.627,CA,AB,Edmonton,53.55,-113.5,POI1
4998,4821810,2017-06-21 07:20:48.877,CA,ON,Oakville,43.4881,-79.7098,POI3
4999,4821849,2017-06-21 18:20:48.983,CA,AB,Edmonton,53.53875,-113.51918,POI1
5000,4821880,2017-06-21 18:20:50.370,CA,QC,Laval,45.561,-73.6809,POI3
5001,4821998,2017-06-21 20:20:49.943,CA,ON,Ajax,43.8731,-79.04257,POI3
5002,4822069,2017-06-21 22:20:48.630,CA,AB,Edmonton,53.5129,-113.623,POI1
5003,4822083,2017-06-21 08:20:52.973,CA,AB,Cochrane,51.1815,-114.468,POI1
5004,4822159,2017-06-21 06:20:53.290,CA,AB,Calgary,51.0242,-114.1004,POI1
5005,4822188,2017-06-21 00:20:53.730,CA,AB,Wetaskiwin,53.08274,-114.12446,POI1
5006,4822238,2017-06-21 21:20:52.417,CA,BC,Surrey,49.20686,-122.83945,POI1
5007,4822266,2017-06-21 17:20:50.897,CA,MB,Winnipeg,49.92454,-97.20577,POI1
5008,4822305,2017-06-21 03:20:56.633,CA,MB,Winnipeg,49.83784,-97.08087,POI1
5009,4822399,2017-06-21 07:20:53.900,CA,BC,108 Mile Ranch,51.73948,-121.33789,POI1
5010,4822408,2017-06-21 14:20:54.420,CA,ON,Windsor,42.2949,-83.052,POI3
5011,4822443,2017-06-21 07:20:55.720,CA,ON,Toronto,43.672,-79.3791,POI3
5012,4822594,2017-06-21 12:20:56.667,CA,AB,Calgary,51.04377,-113.97545,POI1
5013,4822679,2017-06-21 20:20:56.763,CA,NS,Halifax,44.6701,-63.6036,POI4
5014,4822772,2017-06-21 15:20:57.237,CA,QC,Saint-Hubert,45.416,-73.0071,POI3
5015,4822819,2017-06-21 02:20:57.777,CA,ON,Etobicoke,43.72217,-79.67534,POI3
5016,4822861,2017-06-21 09:20:57.843,CA,ON,Markham,43.877,-79.2578,POI3
5017,4822892,2017-06-21 19:20:56.700,CA,AB,Edmonton,53.62394,-113.47079,POI1
5018,4822918,2017-06-21 00:20:56.880,CA,AB,Calgary,51.0419,-114.061,POI1
5019,4822954,2017-06-21 19:20:57.047,CA,AB,Edmonton,53.5515,-113.492,POI1
5020,4822992,2017-06-21 01:20:57.107,CA,AB,Edmonton,53.4579,-113.412,POI1
5021,4823050,2017-06-21 00:20:57.587,CA,QC,Gatineau,45.476,-75.6786,POI3
5022,4823220,2017-06-21 03:20:56.683,CA,AB,Calgary,50.95812,-114.1043,POI1
5023,4823301,2017-06-21 09:20:57.097,CA,AB,Edmonton,53.59255,-113.492,POI1
5024,4823336,2017-06-21 08:20:57.280,CA,SK,North Battleford,52.75755,-108.26953,POI1
